context,question,answer
"Panduan servis berkala motor Y, halaman 17",Bagaimana cara mengganti oli mesin?,"Servis berkala disarankan setiap 3.000 km atau 3 bulan sekali, tergantung mana yang lebih dulu tercapai."
"Manual pengguna motor merek X, halaman 23",Apa penyebab mesin cepat panas?,Kode error E01 biasanya mengindikasikan masalah pada sensor suhu mesin.
"Dokumen teknis sensor suhu motor Z, halaman 45",Bagaimana prosedur pengecekan busi?,"Mesin cepat panas bisa disebabkan oleh kurangnya oli, masalah pendinginan, atau penggunaan berlebihan."
"Manual pengguna motor merek X, halaman 23",Bagaimana cara mengatur rantai motor?,Kode error E01 biasanya mengindikasikan masalah pada sensor suhu mesin.
"Dokumen teknis sensor suhu motor Z, halaman 45",Berapa kapasitas tangki bahan bakar?,"Servis berkala disarankan setiap 3.000 km atau 3 bulan sekali, tergantung mana yang lebih dulu tercapai."
"Panduan servis berkala motor Y, halaman 17",Bagaimana cara mengatur rantai motor?,Kapasitas tangki bahan bakar biasanya berkisar antara 4 hingga 12 liter tergantung tipe motor.
"Manual pengguna motor merek X, halaman 23",Bagaimana cara mengganti oli mesin?,Filter udara berfungsi menyaring debu agar tidak masuk ke ruang bakar mesin.
"Buku petunjuk pemeliharaan motor W, halaman 8",Apa penyebab mesin cepat panas?,"Untuk mengganti oli mesin, panaskan mesin terlebih dahulu, buka baut pembuangan oli, biarkan oli keluar, lalu isi dengan oli baru sesuai spesifikasi."
"Panduan servis berkala motor Y, halaman 17",Bagaimana cara mengganti oli mesin?,"Indikator suhu menunjukkan suhu mesin, jika mendekati merah berarti mesin terlalu panas dan perlu didinginkan."
"Manual pengguna motor merek X, halaman 23",Kapan waktu servis berkala harus dilakukan?,"Untuk mengatur rantai motor, kendurkan mur roda belakang, sesuaikan ketegangan rantai, lalu kencangkan kembali mur roda."
"Dokumen teknis sensor suhu motor Z, halaman 45",Bagaimana cara mengatur rantai motor?,"Untuk mengganti oli mesin, panaskan mesin terlebih dahulu, buka baut pembuangan oli, biarkan oli keluar, lalu isi dengan oli baru sesuai spesifikasi."
"Dokumen teknis sensor suhu motor Z, halaman 45",Bagaimana cara mengganti oli mesin?,Kode error E01 biasanya mengindikasikan masalah pada sensor suhu mesin.
"Panduan servis berkala motor Y, halaman 17",Bagaimana cara mengganti oli mesin?,Filter udara berfungsi menyaring debu agar tidak masuk ke ruang bakar mesin.
"Panduan servis berkala motor Y, halaman 17",Apa fungsi dari filter udara?,Filter udara berfungsi menyaring debu agar tidak masuk ke ruang bakar mesin.
"Dokumen teknis sensor suhu motor Z, halaman 45",Bagaimana prosedur pengecekan busi?,Kapasitas tangki bahan bakar biasanya berkisar antara 4 hingga 12 liter tergantung tipe motor.
"Manual pengguna motor merek X, halaman 23",Apa fungsi dari filter udara?,"Untuk mengecek busi, lepaskan busi menggunakan kunci khusus dan periksa elektroda apakah aus atau kotor."
"Buku petunjuk pemeliharaan motor W, halaman 8",Kapan waktu servis berkala harus dilakukan?,"Untuk mengecek busi, lepaskan busi menggunakan kunci khusus dan periksa elektroda apakah aus atau kotor."
"Modul pelatihan mekanik motor, halaman 32",Bagaimana cara membaca indikator suhu?,Kode error E01 biasanya mengindikasikan masalah pada sensor suhu mesin.
"Panduan servis berkala motor Y, halaman 17",Bagaimana cara membaca indikator suhu?,Filter udara berfungsi menyaring debu agar tidak masuk ke ruang bakar mesin.
"Dokumen teknis sensor suhu motor Z, halaman 45",Apa fungsi dari filter udara?,Kapasitas tangki bahan bakar biasanya berkisar antara 4 hingga 12 liter tergantung tipe motor.
"Manual pengguna motor merek X, halaman 23",Berapa tekanan angin ban yang disarankan?,"Indikator suhu menunjukkan suhu mesin, jika mendekati merah berarti mesin terlalu panas dan perlu didinginkan."
"Panduan servis berkala motor Y, halaman 17",Bagaimana cara mengatur rantai motor?,"Indikator suhu menunjukkan suhu mesin, jika mendekati merah berarti mesin terlalu panas dan perlu didinginkan."
"Manual pengguna motor merek X, halaman 23",Apa fungsi dari filter udara?,"Untuk mengganti oli mesin, panaskan mesin terlebih dahulu, buka baut pembuangan oli, biarkan oli keluar, lalu isi dengan oli baru sesuai spesifikasi."
"Panduan servis berkala motor Y, halaman 17",Apa arti kode error E01?,"Mesin cepat panas bisa disebabkan oleh kurangnya oli, masalah pendinginan, atau penggunaan berlebihan."
"Dokumen teknis sensor suhu motor Z, halaman 45",Apa arti kode error E01?,"Untuk mengatur rantai motor, kendurkan mur roda belakang, sesuaikan ketegangan rantai, lalu kencangkan kembali mur roda."
"Manual pengguna motor merek X, halaman 23",Berapa kapasitas tangki bahan bakar?,Kapasitas tangki bahan bakar biasanya berkisar antara 4 hingga 12 liter tergantung tipe motor.
"Dokumen teknis sensor suhu motor Z, halaman 45",Kapan waktu servis berkala harus dilakukan?,"Mesin cepat panas bisa disebabkan oleh kurangnya oli, masalah pendinginan, atau penggunaan berlebihan."
"Manual pengguna motor merek X, halaman 23",Kapan waktu servis berkala harus dilakukan?,"Servis berkala disarankan setiap 3.000 km atau 3 bulan sekali, tergantung mana yang lebih dulu tercapai."
"Panduan servis berkala motor Y, halaman 17",Apa fungsi dari filter udara?,"Indikator suhu menunjukkan suhu mesin, jika mendekati merah berarti mesin terlalu panas dan perlu didinginkan."
"Modul pelatihan mekanik motor, halaman 32",Apa penyebab mesin cepat panas?,Kode error E01 biasanya mengindikasikan masalah pada sensor suhu mesin.
"Modul pelatihan mekanik motor, halaman 32",Bagaimana cara mengganti oli mesin?,Kapasitas tangki bahan bakar biasanya berkisar antara 4 hingga 12 liter tergantung tipe motor.
"Buku petunjuk pemeliharaan motor W, halaman 8",Bagaimana prosedur pengecekan busi?,Filter udara berfungsi menyaring debu agar tidak masuk ke ruang bakar mesin.
"Buku petunjuk pemeliharaan motor W, halaman 8",Bagaimana cara mengganti oli mesin?,"Tekanan angin ban yang disarankan biasanya 29 psi untuk depan dan 33 psi untuk belakang, tergantung jenis motor."
"Dokumen teknis sensor suhu motor Z, halaman 45",Bagaimana cara mengganti oli mesin?,"Tekanan angin ban yang disarankan biasanya 29 psi untuk depan dan 33 psi untuk belakang, tergantung jenis motor."
"Manual pengguna motor merek X, halaman 23",Kapan waktu servis berkala harus dilakukan?,"Indikator suhu menunjukkan suhu mesin, jika mendekati merah berarti mesin terlalu panas dan perlu didinginkan."
"Buku petunjuk pemeliharaan motor W, halaman 8",Kapan waktu servis berkala harus dilakukan?,Kapasitas tangki bahan bakar biasanya berkisar antara 4 hingga 12 liter tergantung tipe motor.
"Panduan servis berkala motor Y, halaman 17",Apa arti kode error E01?,"Mesin cepat panas bisa disebabkan oleh kurangnya oli, masalah pendinginan, atau penggunaan berlebihan."
"Modul pelatihan mekanik motor, halaman 32",Kapan waktu servis berkala harus dilakukan?,"Mesin cepat panas bisa disebabkan oleh kurangnya oli, masalah pendinginan, atau penggunaan berlebihan."
"Manual pengguna motor merek X, halaman 23",Apa fungsi dari filter udara?,Kapasitas tangki bahan bakar biasanya berkisar antara 4 hingga 12 liter tergantung tipe motor.
"Modul pelatihan mekanik motor, halaman 32",Apa arti kode error E01?,"Untuk mengatur rantai motor, kendurkan mur roda belakang, sesuaikan ketegangan rantai, lalu kencangkan kembali mur roda."
"Manual pengguna motor merek X, halaman 23",Bagaimana cara mengatur rantai motor?,"Indikator suhu menunjukkan suhu mesin, jika mendekati merah berarti mesin terlalu panas dan perlu didinginkan."
